"RelativePath","LastWriteTime","NameHit","ContentHit"
"quantum-math-lab\\results\\hardware\\summary\\levelb_evidence_report.md","2026-03-04 21:05:54","False","True"
"quantum-math-lab\\results\\hardware\\summary\\levelb_evidence_snapshot.json","2026-03-04 21:05:54","False","True"
"quantum-math-lab\\results\\hardware\\summary\\levelc_progress_table.json","2026-03-04 21:48:17","False","True"
"quantum-math-lab\\results\\hardware\\summary\\levelc_progress_table.md","2026-03-04 21:48:17","False","True"
"quantum-math-lab\benchmarks\levelc_manifest.json","2026-03-04 20:41:38","False","True"
"quantum-math-lab\hardware_advantage_protocol.md","2026-03-04 19:15:07","False","True"
"quantum-math-lab\qiskit_black_hole_hardware_runner.py","2026-03-04 20:28:08","True","False"
"quantum-math-lab\qiskit_black_hole_scrambling.py","2026-03-04 13:31:16","True","False"
"quantum-math-lab\README.md","2026-03-04 11:24:32","False","True"
"quantum-math-lab\results_black_hole_scrambling_q6.json","2026-03-04 11:23:34","True","False"
"quantum-math-lab\results_black_hole_scrambling.json","2026-03-04 11:23:10","True","False"
"quantum-math-lab\results\benchmark\classical\black_hole_scrambling_q10_exact_short.json","2026-03-04 21:59:26","True","False"
"quantum-math-lab\results\benchmark\classical\black_hole_scrambling_q10_s10000.json","2026-03-04 21:11:47","True","False"
"quantum-math-lab\results\benchmark\classical\black_hole_scrambling_q10_s5000.json","2026-03-04 21:10:17","True","False"
"quantum-math-lab\results\benchmark\classical\black_hole_scrambling_q12_exact_short.json","2026-03-04 22:19:09","True","False"
"quantum-math-lab\results\benchmark\classical\black_hole_scrambling_q8_s10000.json","2026-03-04 21:08:47","True","False"
"quantum-math-lab\results\benchmark\classical\black_hole_scrambling_q8_s5000.json","2026-03-04 21:08:34","True","False"
"quantum-math-lab\results\benchmark\classical\time_black_hole_scrambling_q10_exact_short.txt","2026-03-04 21:59:27","True","False"
"quantum-math-lab\results\benchmark\classical\time_black_hole_scrambling_q10_s10000.txt","2026-03-04 21:11:47","True","False"
"quantum-math-lab\results\benchmark\classical\time_black_hole_scrambling_q10_s5000.txt","2026-03-04 21:10:17","True","False"
"quantum-math-lab\results\benchmark\classical\time_black_hole_scrambling_q12_exact_short.txt","2026-03-04 22:19:09","True","False"
"quantum-math-lab\results\benchmark\classical\time_black_hole_scrambling_q12_s5000.txt","2026-03-04 21:11:47","True","False"
"quantum-math-lab\results\benchmark\classical\time_black_hole_scrambling_q8_s10000.txt","2026-03-04 21:08:47","True","False"
"quantum-math-lab\results\benchmark\classical\time_black_hole_scrambling_q8_s5000.txt","2026-03-04 21:08:35","True","False"
"quantum-math-lab\results\hardware\archives\2026-03-05_q80_run1_run2\black_hole_hardware_q80_raw.json","2026-03-05 09:37:39","True","False"
"quantum-math-lab\results\hardware\archives\2026-03-05_q80_run1_run2\black_hole_hardware_q80_subset01_mit.json","2026-03-05 09:37:39","True","False"
"quantum-math-lab\results\hardware\archives\2026-03-05_q80_run1_run2\RESULTS_SUMMARY.md","2026-03-05 09:38:23","False","True"
"quantum-math-lab\results\hardware\archives\2026-03-05_q80_run1_run2\SHA256SUMS.txt","2026-03-05 09:37:39","False","True"
"quantum-math-lab\results\hardware\black_hole_hardware_q10_pilot.json","2026-03-04 19:08:15","True","False"
"quantum-math-lab\results\hardware\black_hole_hardware_q14_raw_exact.json","2026-03-04 21:34:27","True","False"
"quantum-math-lab\results\hardware\black_hole_hardware_q80_raw.json","2026-03-04 19:53:05","True","False"
"quantum-math-lab\results\hardware\black_hole_hardware_q80_subset01_light.json","2026-03-04 21:36:46","True","False"
"quantum-math-lab\results\hardware\black_hole_hardware_q80_subset01_mit_xsup.json","2026-03-04 20:30:16","True","False"
"quantum-math-lab\results\hardware\black_hole_hardware_q80_subset01_mit.json","2026-03-04 20:03:57","True","False"
"quantum-math-lab\results\hardware\black_hole_hardware_q80_subset02_mit_xsup_pq10_rerun1.json","2026-03-04 21:03:35","True","False"
"quantum-math-lab\results\hardware\black_hole_hardware_q80_subset02_mit_xsup_pq10.json","2026-03-04 20:55:31","True","False"
"quantum-math-lab\results\hardware\black_hole_hardware_q80_subset02_mit_xsup.json","2026-03-04 20:45:54","True","False"
"quantum-math-lab\results\hardware\summary\ibm_runs_raw_vs_mitigated_summary.md","2026-03-04 20:13:11","False","True"
"quantum-math-lab\results\hardware\summary\q_vs_c_olddata_q10.json","2026-03-04 22:36:36","False","True"
"quantum-math-lab\scripts\run-levelc-bundle.sh","2026-03-04 20:42:09","False","True"
